symbol,trade_date,open,high,low,close,volume,amount,pre_close,adj_factor,is_suspended,limit_up,limit_down,event_time,publish_time,ingest_time,available_time,revision_id,source
510300.SH,2024-01-02,3.50,3.57,3.49,3.55,1200000,4260000,3.48,1.0,false,3.83,3.13,2024-01-02 15:00:00,2024-01-02 15:05:00,2024-01-02 15:10:00,2024-01-02 15:10:00,r1,mock
510500.SH,2024-01-02,5.10,5.13,5.05,5.08,900000,4572000,5.12,1.0,false,5.63,4.61,2024-01-02 15:00:00,2024-01-02 15:05:00,2024-01-02 15:10:00,2024-01-02 15:10:00,r1,mock
512800.SH,2024-01-02,1.12,1.14,1.11,1.13,2200000,2486000,1.11,1.0,false,1.22,1.00,2024-01-02 15:00:00,2024-01-02 15:05:00,2024-01-02 15:10:00,2024-01-02 15:10:00,r1,mock
600519.SH,2024-01-02,1680.00,1698.00,1670.00,1692.00,45000,76140000,1675.00,1.0,false,1842.50,1507.50,2024-01-02 15:00:00,2024-01-02 15:05:00,2024-01-02 15:10:00,2024-01-02 15:10:00,r1,mock
510300.SH,2024-01-03,3.56,3.62,3.54,3.60,1500000,5400000,3.55,1.0,false,3.91,3.20,2024-01-03 15:00:00,2024-01-03 15:05:00,2024-01-03 15:10:00,2024-01-03 15:10:00,r1,mock
510500.SH,2024-01-03,5.09,5.23,5.07,5.20,950000,4940000,5.08,1.0,false,5.59,4.57,2024-01-03 15:00:00,2024-01-03 15:05:00,2024-01-03 15:10:00,2024-01-03 15:10:00,r1,mock
512800.SH,2024-01-03,1.13,1.13,1.13,1.13,0,0,1.13,1.0,true,1.24,1.02,2024-01-03 15:00:00,2024-01-03 15:05:00,2024-01-03 15:10:00,2024-01-03 15:10:00,r1,mock
600519.SH,2024-01-03,1695.00,1705.00,1680.00,1688.00,41000,69208000,1692.00,1.0,false,1861.20,1522.80,2024-01-03 15:00:00,2024-01-03 15:05:00,2024-01-03 15:10:00,2024-01-03 15:10:00,r1,mock
510300.SH,2024-01-04,3.61,3.63,3.55,3.58,1300000,4654000,3.60,1.0,false,3.96,3.24,2024-01-04 15:00:00,2024-01-04 15:05:00,2024-01-04 15:10:00,2024-01-04 15:10:00,r1,mock
510500.SH,2024-01-04,5.22,5.28,5.18,5.25,980000,5145000,5.20,1.0,false,5.72,4.68,2024-01-04 15:00:00,2024-01-04 15:05:00,2024-01-04 15:10:00,2024-01-04 15:10:00,r1,mock
512800.SH,2024-01-04,1.12,1.15,1.11,1.14,2300000,2622000,1.13,1.0,false,1.24,1.02,2024-01-04 15:00:00,2024-01-04 15:05:00,2024-01-04 15:10:00,2024-01-04 15:10:00,r1,mock
600519.SH,2024-01-04,1686.00,1722.00,1682.00,1710.00,48000,82080000,1688.00,1.0,false,1856.80,1519.20,2024-01-04 15:00:00,2024-01-04 15:05:00,2024-01-04 15:10:00,2024-01-04 15:10:00,r1,mock
