trade_date,is_trading_day,session_open,session_close,decision_time,reason
2024-01-02,true,09:30,15:00,15:30,normal
2024-01-03,true,09:30,15:00,15:30,normal
2024-01-04,true,09:30,15:00,15:30,normal
2024-01-05,true,09:30,15:00,15:30,normal
2024-01-06,false,,,,weekend
2024-01-07,false,,,,weekend
2024-01-08,true,09:30,15:00,15:30,normal
2024-01-09,false,,,,holiday
2024-01-10,true,09:30,15:00,15:30,normal
2024-01-11,true,09:30,15:00,15:30,normal
2024-01-12,true,09:30,15:00,15:30,normal
2024-01-13,false,,,,weekend
2024-01-14,false,,,,weekend
2024-01-15,true,09:30,15:00,15:30,normal
2024-05-17,true,09:30,15:00,15:30,normal
2024-05-18,false,,,,weekend
2024-05-19,false,,,,weekend
2024-05-20,true,09:30,15:00,15:30,normal
